site_id,lat,lon,pft
22515,37.63533,-120.84137,annual crop
65097,33.5869,-114.5808,annual crop
103239,38.9054,-121.85454,annual crop
108531,33.04577,-115.49762,annual crop
353265,39.88242,-122.17547,annual crop
177717,38.05533,-121.4442,annual crop
65249,39.00824,-122.83245,annual crop
492370,36.52923,-119.30406,annual crop
349586,38.67856,-121.56266,annual crop
182309,36.68569,-119.87406,annual crop
239915,39.01238,-123.35947,annual crop
367526,36.79054,-121.7453,annual crop
246895,35.18645,-119.3141,annual crop
340847,38.37875,-122.91563,annual crop
24285,34.79702,-120.42089,annual crop
87380,32.76635,-114.5979,annual crop
533765,36.78746,-120.33937,annual crop
167331,32.80896,-114.52932,annual crop
66524,38.8302,-121.77074,annual crop
502523,36.88756,-121.77701,annual crop
535042,41.80199,-122.0418,annual crop
195983,38.89339,-121.52089,annual crop
600017,36.66186,-119.79697,annual crop
492668,36.4878,-120.01146,annual crop
392221,33.56329,-116.2035,annual crop
328030,33.42572,-114.74646,annual crop
26068,32.75724,-114.61723,annual crop
89296,33.67127,-114.53808,annual crop
383562,34.41069,-118.62657,annual crop
26299,33.51326,-114.61874,annual crop
232604,37.18074,-121.01525,annual crop
395839,35.27597,-120.7747,annual crop
69792,38.33716,-121.51585,annual crop
467863,34.13453,-119.15978,annual crop
493047,40.34765,-120.62183,annual crop
567071,39.12333,-121.85106,annual crop
512125,36.96191,-120.62329,annual crop
126771,37.03179,-120.6639,annual crop
500469,36.77152,-121.62476,annual crop
67510,40.69572,-122.13994,annual crop
69496,36.46039,-121.24912,annual crop
29001,39.31873,-121.13128,annual crop
437156,39.16223,-122.03699,annual crop
368210,33.52038,-114.6498,annual crop
159287,36.14349,-119.52189,annual crop
124156,37.90318,-121.489,annual crop
227794,41.41938,-120.13819,annual crop
205948,40.54721,-120.62116,annual crop
93746,32.93481,-115.31585,annual crop
30507,37.65013,-120.8963,annual crop
593796,38.79935,-121.69935,annual crop
31928,39.33738,-121.05382,annual crop
31957,38.3774,-122.8866,annual crop
261461,40.35154,-120.39129,annual crop
293498,37.05987,-122.15406,annual crop
32868,38.148,-121.66409,annual crop
33094,33.97741,-117.59816,annual crop
353512,33.6037,-114.66012,annual crop
479465,40.5999,-124.28744,annual crop
246071,38.24636,-121.53666,annual crop
427760,35.18856,-118.96539,annual crop
34773,34.88382,-120.32797,annual crop
160355,36.78076,-121.76131,annual crop
490442,34.316,-119.11576,annual crop
59390,34.21725,-119.13817,annual crop
179300,39.71292,-122.19349,annual crop
175135,33.58436,-116.05419,annual crop
36180,32.7123,-115.48882,annual crop
517259,32.74791,-115.57667,annual crop
553822,40.37165,-120.57522,annual crop
251475,33.6269,-116.23151,annual crop
293483,32.71936,-115.65412,annual crop
151653,34.911,-120.35926,annual crop
454499,38.53206,-121.55951,annual crop
166147,39.62319,-120.37549,annual crop
399258,35.48374,-119.34802,annual crop
241299,37.6523,-121.39605,annual crop
541461,36.45082,-119.70625,annual crop
37588,33.09437,-115.53634,annual crop
261337,32.75965,-114.57974,annual crop
506473,33.46735,-114.67581,annual crop
193432,36.5853,-120.10013,annual crop
403526,36.33032,-119.24316,annual crop
307625,40.97332,-120.48871,annual crop
170985,40.5659,-124.14617,annual crop
121070,37.31694,-120.97069,annual crop
66570,39.37955,-121.43118,annual crop
241238,38.54959,-119.46948,annual crop
422521,38.13788,-121.66586,annual crop
255794,38.92925,-121.74717,annual crop
395079,32.97935,-115.61769,annual crop
163629,40.26573,-120.4595,annual crop
99630,34.88969,-120.40141,annual crop
167576,34.95131,-120.59756,annual crop
502625,41.55975,-122.97712,annual crop
399733,36.70516,-121.7354,annual crop
291830,35.34992,-119.22922,annual crop
102656,35.44572,-119.45112,annual crop
191864,36.84667,-121.78615,annual crop
43169,32.99733,-115.64363,annual crop
245168,36.25207,-119.30616,annual crop
343181,33.50538,-116.17232,annual crop
143751,32.7823,-115.33656,annual crop
501535,37.14162,-122.3221,annual crop
44076,39.78671,-122.20302,annual crop
44189,38.11178,-121.68062,annual crop
527845,36.70394,-119.8381,annual crop
270635,37.06013,-121.57107,annual crop
501706,37.46721,-121.05454,annual crop
530425,37.88937,-121.03185,annual crop
399008,36.7653,-120.5357,annual crop
68296,33.53177,-114.62364,annual crop
445587,35.54058,-120.98491,annual crop
152181,34.91611,-119.55185,annual crop
580371,33.48053,-117.19704,annual crop
46502,33.27982,-117.27886,annual crop
449729,37.10709,-120.2762,annual crop
48436,38.24029,-121.58237,annual crop
326086,34.61853,-120.11951,annual crop
502462,39.4268,-121.73066,annual crop
48919,34.90195,-120.40706,annual crop
