site_id,lat,lon,pft,cluster,dist_to_centroid
230492,36.70716,-121.78487,annual crop,3872,0.6576978009568939
460320,33.06884,-115.55679,annual crop,2792,0.9164242576555692
14732,38.37567,-121.42516,annual crop,989,0.6888950135124717
319668,38.7538,-121.99556,annual crop,1918,0.8790948867562449
235886,41.91682,-120.32069,annual crop,1824,1.4903923138543076
14,35.98256,-119.16781,annual crop,779,1.2911922946261403
308937,37.82541,-121.13847,annual crop,1663,1.3546098186108662
278755,39.44746,-122.51175,annual crop,2921,1.132117575013882
46,39.53015,-122.08559,annual crop,1571,0.10801478725401695
12095,39.11519,-121.93835,annual crop,3390,0.7184667832751601
25,34.25829,-118.99106,annual crop,653,0
75892,35.93645,-119.42673,annual crop,2934,0.9594672693852914
12990,36.43063,-120.00858,annual crop,3069,0.9603763132046675
518862,32.90892,-115.49489,annual crop,1985,0.8284147646860487
426467,36.75282,-119.44608,annual crop,2981,1.1481814785929254
36,36.9072,-121.37176,annual crop,1028,0.8020062086809318
396664,36.18448,-119.53999,annual crop,1903,0.6371728310288394
378577,36.17975,-119.42683,annual crop,4235,0.6604803887375198
258392,38.19761,-121.56604,annual crop,835,0.6661038526348387
256915,35.08191,-119.25829,annual crop,4253,0
419625,39.72503,-122.19135,annual crop,617,0.681506746450641
418372,36.1607,-120.1521,annual crop,4933,0.9278326558672136
435853,40.5356,-120.60071,annual crop,4826,0.8143836122353264
11328,37.90625,-121.5622,annual crop,4553,0.8102816147845819
230847,36.76302,-121.69495,annual crop,25,0.6508713297537367
200446,38.39373,-121.79076,annual crop,2927,1.6228245702148476
306800,40.58887,-122.07058,annual crop,1362,0.6147156914610807
382311,39.28858,-122.24579,annual crop,4311,0.33662664488561744
77784,34.40451,-118.83559,annual crop,628,1.2142644685723938
501572,37.14076,-120.62383,annual crop,749,1.053870303971201
146895,36.69456,-121.70219,annual crop,2343,0.6059723568422485
522306,35.54677,-120.67877,annual crop,1233,0.9157220867184421
596071,37.69268,-120.87239,annual crop,1131,0.5592705837818717
104466,37.49162,-120.79457,annual crop,535,0.7113027479051515
293738,36.6723,-121.716,annual crop,4144,0.5449794306864597
563087,38.95378,-121.41828,annual crop,389,0.621789418750842
31215,40.91841,-121.69481,annual crop,3335,0
402087,33.79893,-117.37809,annual crop,5127,0.631915094943241
143083,37.11111,-120.59434,annual crop,4492,0.8718339075629001
400349,36.78659,-121.74921,annual crop,5125,1.0791251226998178
