site_id,lat,lon,pft
328163,38.09936,-121.50154,annual crop
26336,36.17114,-120.19718,woody perennial crop
565118,38.10958,-121.53613,annual crop
159849,36.94729,-120.10535,woody perennial crop
522375,32.81281,-115.44207,annual crop
534243,36.1778,-120.20411,woody perennial crop
205678,38.13153,-121.55174,annual crop
169473,36.23738,-119.92755,woody perennial crop
592578,38.13799,-121.51401,annual crop
557284,36.82778,-120.13963,woody perennial crop
413887,38.12346,-121.54982,annual crop
590334,36.35733,-119.09283,woody perennial crop
440393,39.57712,-121.86221,annual crop
16073,38.50244,-121.97646,woody perennial crop
420343,37.69949,-121.1391,annual crop
415399,33.96684,-117.34049,woody perennial crop
132390,39.59614,-122.0226,annual crop
514070,37.62903,-121.08781,woody perennial crop
52519,38.17441,-121.51733,annual crop
90,36.72266,-121.25348,woody perennial crop
248496,38.11573,-121.64507,annual crop
332581,38.27661,-121.22766,woody perennial crop
296871,38.54294,-121.87237,annual crop
488132,33.7738,-115.32678,woody perennial crop
589918,36.62289,-121.54925,annual crop
142350,38.13472,-121.62383,woody perennial crop
535358,39.68222,-122.0026,annual crop
321992,35.8788,-119.51656,woody perennial crop
589581,38.09222,-121.64036,annual crop
590073,38.10809,-121.65527,annual crop
437146,38.75169,-120.67468,woody perennial crop
14,35.98256,-119.16781,annual crop
96038,33.12785,-115.54385,woody perennial crop
155097,38.1542,-121.61398,annual crop
30934,33.69643,-114.58866,woody perennial crop
32528,33.48618,-116.13102,annual crop
469135,41.96147,-120.30404,woody perennial crop
357428,41.90001,-124.13959,annual crop
472163,34.34121,-119.30182,woody perennial crop
329357,35.14637,-118.82009,annual crop
152256,38.29046,-122.38996,woody perennial crop
89752,37.37847,-118.40035,annual crop
362135,36.91921,-120.60184,woody perennial crop
594379,36.94719,-121.8011,annual crop
429989,36.72355,-119.8642,woody perennial crop
102480,39.74194,-122.25899,annual crop
28809,36.26025,-119.70729,woody perennial crop
405184,33.56834,-114.6181,annual crop
330822,38.05391,-121.48873,woody perennial crop
15499,37.02377,-120.14611,annual crop
284301,36.90351,-120.48616,woody perennial crop
285241,38.27897,-122.33578,annual crop
244878,38.05085,-121.48882,woody perennial crop
405606,35.4088,-119.47618,annual crop
327124,35.06707,-119.30699,woody perennial crop
118038,40.01262,-122.12186,annual crop
597240,33.20952,-115.51989,woody perennial crop
299613,38.06203,-121.46995,annual crop
293793,39.32027,-121.9284,annual crop
144461,36.89782,-120.42527,woody perennial crop
153154,37.09871,-121.94973,annual crop
506467,33.62682,-116.20413,woody perennial crop
302976,32.74101,-114.59509,annual crop
453786,38.71969,-122.79846,woody perennial crop
336904,38.07339,-121.55144,annual crop
535040,41.79868,-122.03721,woody perennial crop
212287,35.28216,-118.94883,annual crop
549173,38.74698,-120.66111,woody perennial crop
107465,39.69923,-122.16946,annual crop
555182,39.90458,-122.15595,woody perennial crop
372700,33.5455,-116.14052,annual crop
313780,36.96793,-121.80891,woody perennial crop
309355,33.31083,-115.5841,annual crop
403505,36.17637,-119.82926,woody perennial crop
236386,38.79874,-120.81872,annual crop
14956,36.60424,-119.24576,woody perennial crop
