site_id,lat,lon,pft
f2ce12d75f3b2cc6,32.75557,-115.41586,annual crop
eb70a6c8b0f58ea8,38.08514,-120.47661,annual crop
e19e245fdad78def,39.55064,-122.15473,annual crop
fbc6cd79aa048b05,33.52919,-114.56727,annual crop
e965173d43abe95b,36.45436,-119.29039,annual crop
841462dcb78ab4a1,37.11778,-120.56257,annual crop
3f9e2e9da147e821,36.29281,-119.5864,annual crop
69c398daff357da0,38.62267,-121.53812,annual crop
b3ed7ece68eabba6,36.92991,-121.73205,annual crop
b0aad0a7d69598b0,38.18682,-120.82394,annual crop
c3cc92790e82238f,40.63064,-121.90013,annual crop
dc9179b07c8ed8a7,38.36642,-121.59721,annual crop
3109e15b126d31ab,35.13826,-120.51548,annual crop
3c2c435e77d7b0ea,35.08948,-120.58903,annual crop
7fa45795fbd5f436,35.14573,-120.53684,annual crop
7bbdad271ed502db,32.7755,-115.40383,annual crop
a749a5393e2d0a9a,37.69577,-121.08735,annual crop
c8021a7adbd0f0e2,34.15523,-119.07796,annual crop
2f9bf5c8fea8f0bf,36.78353,-119.56569,annual crop
b88961b09985da28,40.72994,-124.18378,annual crop
f8536d1c22b6ce7e,35.45825,-119.32789,annual crop
8773c58306e8d9a0,32.71585,-115.47163,annual crop
ca601db78178679a,33.18742,-115.48613,annual crop
a8666f289cdb29fc,36.18533,-119.30574,annual crop
829b943224934d75,37.85302,-121.29026,annual crop
d49fa798b11d00e3,36.69189,-121.70652,annual crop
d98dac9c17d8ecef,36.86857,-121.7761,annual crop
c75e6dd82a4bdfa3,39.13847,-121.97803,annual crop
ddbdb53e6fcf0ca1,34.43232,-119.31422,annual crop
f622269b4af08ffe,37.79911,-121.49169,annual crop
5a62bd8c14b93fc6,39.16234,-121.68997,annual crop
e486b7c9a1343b84,34.98172,-120.5523,annual crop
36c0ce814a9688e4,32.79792,-115.30592,annual crop
a88d10858574320c,36.08904,-119.16801,annual crop
2eab840584d9a6ea,37.45028,-120.82393,annual crop
df901934f52831d6,39.59935,-120.35656,annual crop
8c2a4c220bba15a9,35.67697,-118.2591,annual crop
f7f7febde5b6504e,36.75672,-120.20252,annual crop
e59dbefe9c9236ff,39.27161,-122.21843,annual crop
4e5a039db65ad456,40.50238,-122.32069,annual crop
a89b3d838b4c7860,34.62273,-120.02083,annual crop
bd24018cde78901b,38.29991,-121.78208,annual crop
1e782bbd9aba2833,37.96339,-121.41258,annual crop
b395f792fe19ad47,36.27344,-119.37709,annual crop
139b0e8868923eb8,33.54674,-114.71593,annual crop
629195fe5cadee05,37.89266,-121.30972,annual crop
bb622fd1e21955a4,35.12894,-118.58115,annual crop
1166d305b963968f,36.70175,-119.80375,annual crop
85cd30a1d454404e,36.38188,-121.33113,annual crop
e851b358902a0c78,36.33377,-121.25771,annual crop
0633a0f257ea79ca,36.87747,-121.3747,annual crop
9295820af0a10e1d,34.18363,-119.11175,annual crop
167ab5fc67d3d4d3,38.57421,-121.78019,annual crop
cadbfc53b64fb024,37.33403,-120.86818,annual crop
6e30ed9f8e72a777,36.79489,-119.53708,annual crop
9c15afc53357714b,37.95167,-121.67676,annual crop
aa8c8cadf5efa20f,40.51496,-124.02349,annual crop
5433838600b8edc0,41.54862,-122.51858,annual crop
922c6a68452fc8ca,33.57847,-116.03879,annual crop
6fefc1fcb9c8e464,34.20296,-119.09146,annual crop
dc98b4e761edc53a,39.35259,-121.83374,annual crop
30fdb422bceeeedb,33.84184,-117.01405,annual crop
41e40eb7f9b60788,41.54258,-120.46489,annual crop
a98a5fe94a51c5a5,39.17197,-121.1941,annual crop
190922c49a44f9aa,38.96796,-121.26205,annual crop
72d745ad8741be18,41.62203,-122.78298,annual crop
299f79b1e03bf3eb,38.35436,-121.83418,annual crop
507ebd1c6e9f5d14,41.14991,-120.97333,annual crop
0de4e1e230754eb8,36.39065,-121.30012,annual crop
17f4b71353e99733,37.82475,-120.67878,annual crop
97d82456aa198af6,34.12896,-119.13588,annual crop
252448a48135ff4c,37.27926,-121.03566,annual crop
5b5603ac6c281b50,34.78812,-120.43311,annual crop
5bbdd579f1ee9f19,37.9064,-121.58376,annual crop
9ae004848ad220b9,37.16367,-121.69841,annual crop
6fc4cac215be0705,32.76887,-115.57358,annual crop
b4c14ae3bec001c1,38.25789,-121.2001,annual crop
848b12bacff089ef,39.68882,-121.82083,annual crop
7935e2f555cdf9bb,39.13701,-121.15666,annual crop
578966bf4bfb4cfd,39.07784,-121.49638,annual crop
640f384688a4e591,37.42769,-120.83345,annual crop
31e6da9168656711,38.97407,-121.66474,annual crop
1c407a0bbabd14a2,37.74443,-120.88007,annual crop
b0cc94533ba2b1f0,33.10033,-115.43671,annual crop
af981f5dbbfe5f7f,36.49954,-119.61152,annual crop
7e870c6692619f9a,35.95568,-119.23712,annual crop
84bb575f8c8fb657,39.26372,-121.88491,annual crop
58a39bd688496479,37.82917,-121.04874,annual crop
5658557ef71b8d43,37.1862,-120.33464,annual crop
b97e310a97d5449d,36.89654,-121.69318,annual crop
3f80ff62fe2838ad,38.86665,-121.40978,annual crop
9e9b2e8dd0670374,41.0422,-121.47316,annual crop
b91359c48db7a3ac,37.34097,-120.68625,annual crop
02f8ecd6d492badc,36.30494,-121.16543,annual crop
16b3df611a6d9df6,37.376,-122.2249,annual crop
803cd0235a410598,40.92088,-120.55699,annual crop
6055716d4210bf35,34.21075,-119.24137,annual crop
ac69d3083808f403,36.65592,-121.6045,annual crop
301bbdabfeeca8db,32.80027,-115.51625,annual crop
b698c76bbfddfe7f,35.20522,-119.11233,annual crop
